,Genero,Tipo,Titulo,Año de estreno,Mes de estreno,ID
0,Drama,Short,Revolver,2007,,tt0414454
1,Drama,Short,Room Service,2007,4.0,tt0434313
2,Drama,Short,Silent Night,2007,1.0,tt0457474
3,Drama,Short,Beas Vorstellung von Glück,2007,12.0,tt0467442
4,Drama,Short,Saving Angelo,2007,,tt0478259
5,Drama,Short,Matters of Life and Death,2007,,tt0479495
6,Drama,Short,El sueño de Harvey,2007,10.0,tt0483171
7,Drama,Short,La Navidad de la gallina,2007,10.0,tt0774636
8,Drama,Short,Night Falls Fast,2007,1.0,tt0791328
9,Drama,Short,Found Objects,2007,9.0,tt0818934
10,Drama,Short,Sanity or Survival,2007,3.0,tt0829172
11,Drama,Short,Türelem,2007,,tt0830981
12,Drama,Short,The Shadow Man,2007,9.0,tt0844892
13,Drama,Short,00:01:18,2007,2.0,tt0845947
14,Drama,Short,Meeting Helen,2007,,tt0852443
15,Drama,Short,Einsame Insel,2007,10.0,tt0856818
16,Drama,Short,Santa Croce,2007,12.0,tt0857338
17,Drama,Short,Raving,2007,4.0,tt0862812
18,Drama,Short,Waylaid,2007,9.0,tt0863042
19,Drama,Short,Az alma,2007,2.0,tt0867238
20,Drama,Short,Livewire,2007,2.0,tt0879828
21,Drama,Short,Stutter,2007,2.0,tt0880489
22,Drama,Short,Crocodile Dreaming,2007,2.0,tt0882761
23,Drama,Short,Redemption Maddie,2007,2.0,tt0890881
24,Drama,Short,Blood Brothers,2007,11.0,tt0893395
25,Drama,Short,Seis o siete veranos,2007,7.0,tt0903018
26,Drama,Short,Door Out of the Dark,2007,5.0,tt0902277
27,Drama,Short,The Violin,2007,8.0,tt0903033
28,Drama,Short,Fale. Wyjazd,2007,1.0,tt0903612
29,Drama,Short,Mummies: Secrets of the Pharaohs,2007,5.0,tt0922522
30,Drama,Short,Trout,2007,1.0,tt0923953
31,Drama,Short,For a Swim with the Fish,2007,1.0,tt0923697
32,Drama,Short,Aftermath on Meadowlark Lane,2007,1.0,tt0923582
33,Drama,Short,High Falls,2007,1.0,tt0924137
34,Drama,Short,The Grass Grows Green,2007,1.0,tt0924136
35,Drama,Short,Bomb,2007,1.0,tt0923622
36,Drama,Short,A Nick in Time,2007,1.0,tt0923812
37,Drama,Short,Infinite Delay,2007,1.0,tt0924139
38,Drama,Short,Bobby Bird: The Devil in Denim,2007,1.0,tt0923619
39,Drama,Short,King,2007,1.0,tt0926092
40,Drama,Short,The Oates' Valor,2007,1.0,tt0926118
41,Drama,Short,Black and White Trypps Number Three,2007,4.0,tt0929859
42,Drama,Short,My Eskimo Friend,2007,1.0,tt0930904
43,Drama,Short,Goliath,2007,1.0,tt0933021
44,Drama,Short,Crassus,2007,2.0,tt0932969
45,Drama,Short,Interview,2007,1.0,tt0933745
46,Drama,Short,Dentist Visit,2007,1.0,tt0932982
47,Drama,Short,Lens Love Story,2007,1.0,tt0932539
48,Drama,Short,Anniversary,2007,5.0,tt0934372
49,Drama,Short,Memoryeffekt,2007,9.0,tt0935110
50,Drama,Short,The Famous Joe Project,2007,1.0,tt0934835
51,Drama,Short,Monsieur Borges and I,2007,1.0,tt0937366
52,Drama,Short,Swerve,2007,1.0,tt0934966
53,Drama,Short,Pin Wheel,2007,1.0,tt0940925
54,Drama,Short,Kleine Annabelle,2007,1.0,tt0943299
55,Drama,Short,Ab morgen glücklich,2007,1.0,tt0943236
56,Drama,Short,Amelia and Michael,2007,8.0,tt0945314
57,Drama,Short,Unfinished,2007,2.0,tt0945409
58,Drama,Short,Lumen,2007,1.0,tt0945361
59,Drama,Short,Starry Night,2007,1.0,tt0945597
60,Drama,Short,A Soldier's Faith,2007,1.0,tt0947078
61,Drama,Short,Misfit,2007,1.0,tt0947047
62,Drama,Short,Growing Down,2007,2.0,tt0947015
63,Drama,Short,Bipolar Order,2007,1.0,tt0948111
64,Drama,Short,DayDreams of Rudolph Valentino,2007,2.0,tt0946997
65,Drama,Short,Twilight Angel,2007,2.0,tt0947092
66,Drama,Short,Left Turn,2007,4.0,tt0947039
67,Drama,Short,Rendez-vous fatal,2007,1.0,tt0947066
68,Drama,Short,Sista dagen,2007,1.0,tt0948468
