,Genero,Tipo,Título,Año de estreno,Mes de estreno,ID
0,Drama,Short,Astray,2023,6.0,tt10242552
1,Drama,Short,Bedroom,2023,5.0,tt12941822
2,Drama,Short,Gouge,2023,7.0,tt12942176
3,Drama,Short,In Control of Me,2023,9.0,tt14329118
4,Drama,Short,Bury a Dream,2023,2.0,tt14412048
5,Drama,Short,Pieces of My Husband & His Friends,2023,11.0,tt14700656
6,Drama,Short,O Fim do Verão,2023,,tt15061326
7,Drama,Short,2030,2023,,tt15462438
8,Drama,Short,Xmas,2023,3.0,tt6325374
9,Drama,Short,R.A.T,2023,,tt16769782
10,Drama,Short,First Mission,2023,5.0,tt16030316
11,Drama,Short,Silent Proclivities,2023,1.0,tt16382922
12,Drama,Short,Facebook,2023,2.0,tt15770114
13,Drama,Short,The Pendant of Persia,2023,,tt16996540
14,Drama,Short,Brother,2023,,tt17003510
15,Drama,Short,Sweetheart,2023,7.0,tt17350036
16,Drama,Short,Zidane Roulette,2023,3.0,tt17351942
17,Drama,Short,Incidental,2023,4.0,tt17677510
18,Drama,Short,Wake up with me,2023,,tt18160884
19,Drama,Short,Shadows Fall Behind You,2023,,tt18226288
20,Drama,Short,Tell Me(Lies),2023,4.0,tt18284310
21,Drama,Short,The Heroic,2023,,tt18293510
22,Drama,Short,Restitution,2023,2.0,tt18303312
23,Drama,Short,This End,2023,1.0,tt18304360
24,Drama,Short,Roll with It,2023,1.0,tt18567588
25,Drama,Short,Ask the Mask,2023,,tt18766098
26,Drama,Short,Inimicus,2023,,tt18930628
27,Drama,Short,The Love We Knew,2023,,tt18950928
28,Drama,Short,Choose the Right,2023,,tt19045634
29,Drama,Short,Pending...,2023,1.0,tt19226682
30,Drama,Short,11:53,2023,2.0,tt19317000
31,Drama,Short,As Night Falls,2023,6.0,tt19381050
32,Drama,Short,Lifeline,2023,11.0,tt19387342
33,Drama,Short,ALUS,2023,1.0,tt19384066
34,Drama,Short,Machane,2023,,tt19395042
35,Drama,Short,Here We Are,2023,9.0,tt19396900
